Chinese Character,Pinyin,English
我們,wǒ men,we / us
下次,xià cì,next time
見,jiàn,to see / meet
同學,tóng xué,classmate
叫,jiào,to be called
嘉綿老師,jiā mián lǎo shī,Teacher Jia Mian
老師,lǎo shī,teacher
你好,nǐ hǎo,hello
大家好,dà jiā hǎo,hello everyone
聲母,shēng mǔ,initials
韻母,yùn mǔ,finals
爸爸,bà ba,father / dad
媽媽,mā ma,mother
今天,jīn tiān,today
哥哥,gē ge,older brother
珍珠,zhēn zhū,pearl
書包,shū bāo,school bag
學習,xué xí,to learn / study
拔河,bá hé,tug-of-war
鞋子,xié zi,shoes
明天,míng tiān,tomorrow
國家,guó jiā,country
五十,wǔ shí,fifty
九十九,jiǔ shí jiǔ,ninety-nine
很飽,hěn bǎo,very full
水果,shuǐ guǒ,fruit
蛋糕,dàn gāo,cake
院子,yuàn zi,courtyard
路上,lù shàng,on the road
睡覺,shuì jiào,to sleep
水餃,shuǐ jiǎo,dumpling
八,bā,eight
拔,bá,pull up
把,bǎ,hold / particle
爸,bà,dad
門把,mén bǎ,door handle
星期幾,xīng qí jǐ,what day of the week
星期五,xīng qí wǔ,Friday
星期六,xīng qí liù,Saturday
周末,zhōu mò,weekend
請問,qǐng wèn,may I ask / excuse me
現在,xiàn zài,now
幾點鐘,jǐ diǎn zhōng,what time
八點鐘,bā diǎn zhōng,eight o'clock
謝謝,xiè xie,thank you
每天,měi tiān,every day
早上,zǎo shang,morning
起床,qǐ chuáng,to get up
七點十分,qī diǎn shí fēn,7:10
晚上,wǎn shàng,evening
昨天,zuó tiān,yesterday
時鐘,shí zhōng,clock
手錶,shǒu biǎo,watch
鬧鐘,nào zhōng,alarm clock
點,diǎn,o'clock
一點,yī diǎn,1 o'clock
兩點,liǎng diǎn,2 o'clock
三點,sān diǎn,3 o'clock
四點,sì diǎn,4 o'clock
五點,wǔ diǎn,5 o'clock
六點,liù diǎn,6 o'clock
七點,qī diǎn,7 o'clock
八點,bā diǎn,8 o'clock
九點,jiǔ diǎn,9 o'clock
十點,shí diǎn,10 o'clock
十一點,shí yī diǎn,11 o'clock
後天,hòu tiān,day after tomorrow
後年,hòu nián,year after next
上星期,shàng xīng qí,last week
上個月,shàng ge yuè,last month
下星期,xià xīng qí,next week
下個月,xià ge yuè,next month
都,dōu,all / both
也,yě,also / too
學生,xué shēng,student
姓,xìng,to be surnamed
日本人,rì běn rén,Japanese person
大學生,dà xué shēng,university student
美國人,měi guó rén,American person
出生日期,chū shēng rì qí,date of birth
複習,fù xí,review
兒子,ér zi,son
女兒,nǚ ér,daughter
男生,nán shēng,boy
歲,suì,years old
天,tiān,day
年,nián,year
月,yuè,month
號,hào,day / number
日,rì,day
禮拜,lǐ bài,week
星期日,xīng qí rì,Sunday
禮拜日,lǐ bài rì,Sunday
今年,jīn nián,this year
去年,qù nián,last year
明年,míng nián,next year
這個月,zhè ge yuè,this month
住,zhù,to live
哪裡,nǎ lǐ,where
台北,tái běi,Taipei
做,zuò,to do
什麼,shén me,what
工作,gōng zuò,work
醫生,yī shēng,doctor
出生,chū shēng,to be born
生日,shēng rì,birthday
喜歡,xǐ huān,to like
甜點,tián diǎn,dessert
最,zuì,most
巧克力,qiǎo kè lì,chocolate
喝,hē,to drink
飲料,yǐn liào,beverage
聽音樂,tīng yīn yuè,listen to music
中學生,zhōng xué shēng,secondary school student
打球,dǎ qiú,play ball
跑步,pǎo bù,running
讀大學,dú dà xué,study at university
高雄,gāo xióng,Kaohsiung
看電視,kàn diàn shì,watch TV
散步,sàn bù,take a walk
塊,kuài,piece / unit of currency
餅乾,bǐng gān,cookie
多少錢,duō shǎo qián,how much money
甜甜圈,tián tián quān,donut
錢,qián,money
買,mǎi,to buy
漢堡,hàn bǎo,hamburger
元,yuán,unit of currency
百,bǎi,hundred
千,qiān,thousand
麵包,miàn bāo,bread
貴,guì,expensive
便宜,pián yí,cheap
萬,wàn,ten thousand
電腦,diàn nǎo,computer
牛肉,niú ròu,beef
雞肉,jī ròu,chicken
豬肉,zhū ròu,pork
披薩,pī sà,pizza
東西,dōng xī,things
還是,hái shì,or
米飯,mǐ fàn,cooked rice
麵,miàn,noodles
能,néng,can / be able to
薯條,shǔ tiáo,french fries
可以,kě yǐ,can
一起,yī qǐ,together
學校,xué xiào,school
想,xiǎng,to want / to think
奶茶,nǎi chá,milk tea
在,zài,at / in / on
家,jiā,home
課,kè,class
沒有,méi yǒu,not have
讀書,dú shū,to study
寫功課,xiě gōng kè,write homework
